frame_index,seq,header_stamp,aligned_stamp
0,138324,56758.373287000,56758.385067000
1,138325,56758.388310000,56758.400090000
2,138326,56758.405545000,56758.417325000
3,138327,56758.421758000,56758.433538000
4,138328,56758.438826000,56758.450606000
5,138329,56758.456085000,56758.467865000
6,138330,56758.473030000,56758.484810000
7,138331,56758.488194000,56758.499974000
8,138332,56758.505335000,56758.517115000
9,138333,56758.521904000,56758.533684000
10,138334,56758.538937000,56758.550717000
11,138335,56758.556753000,56758.568533000
12,138336,56758.573385000,56758.585165000
13,138337,56758.588605000,56758.600385000
14,138338,56758.605376000,56758.617156000
15,138339,56758.621404000,56758.633184000
16,138340,56758.639047000,56758.650827000
17,138341,56758.656248000,56758.668028000
18,138342,56758.673146000,56758.684926000
19,138343,56758.688224000,56758.700004000
20,138344,56758.705458000,56758.717238000
21,138345,56758.721490000,56758.733270000
22,138346,56758.739043000,56758.750823000
23,138347,56758.756368000,56758.768148000
24,138348,56758.774333000,56758.786113000
25,138349,56758.788493000,56758.800273000
26,138350,56758.805522000,56758.817302000
27,138351,56758.821782000,56758.833562000
28,138352,56758.838868000,56758.850648000
29,138353,56758.856578000,56758.868358000
30,138354,56758.873193000,56758.884973000
31,138355,56758.888507000,56758.900287000
32,138356,56758.905309000,56758.917089000
33,138357,56758.921359000,56758.933139000
34,138358,56758.938981000,56758.950761000
35,138359,56758.956381000,56758.968161000
36,138360,56758.973015000,56758.984795000
37,138361,56758.988810000,56759.000590000
38,138362,56759.005411000,56759.017191000
39,138363,56759.021470000,56759.033250000
40,138364,56759.039003000,56759.050783000
41,138365,56759.056497000,56759.068277000
42,138366,56759.074173000,56759.085953000
43,138367,56759.090586000,56759.102366000
44,138368,56759.105487000,56759.117267000
45,138369,56759.121669000,56759.133449000
46,138370,56759.138749000,56759.150529000
47,138371,56759.156432000,56759.168212000
48,138372,56759.173404000,56759.185184000
49,138373,56759.188349000,56759.200129000
50,138374,56759.205455000,56759.217235000
51,138375,56759.221951000,56759.233731000
52,138376,56759.238773000,56759.250553000
53,138377,56759.256585000,56759.268365000
54,138378,56759.273405000,56759.285185000
55,138379,56759.288798000,56759.300578000
56,138380,56759.305429000,56759.317209000
57,138381,56759.321424000,56759.333204000
58,138382,56759.338628000,56759.350408000
59,138383,56759.355763000,56759.367543000
60,138384,56759.371179000,56759.382959000
61,138385,56759.389954000,56759.401734000
62,138386,56759.405204000,56759.416984000
63,138387,56759.421532000,56759.433312000
64,138388,56759.438957000,56759.450737000
65,138389,56759.456742000,56759.468522000
66,138390,56759.471103000,56759.482883000
67,138391,56759.490140000,56759.501920000
68,138392,56759.505643000,56759.517423000
69,138393,56759.521416000,56759.533196000
70,138394,56759.538765000,56759.550545000
71,138395,56759.556388000,56759.568168000
72,138396,56759.572949000,56759.584729000
73,138397,56759.588297000,56759.600077000
74,138398,56759.605191000,56759.616971000
75,138399,56759.621717000,56759.633497000
76,138400,56759.638738000,56759.650518000
77,138401,56759.656551000,56759.668331000
78,138402,56759.673187000,56759.684967000
79,138403,56759.688355000,56759.700135000
80,138404,56759.705195000,56759.716975000
81,138405,56759.721292000,56759.733072000
82,138406,56759.739192000,56759.750972000
83,138407,56759.756268000,56759.768048000
84,138408,56759.773042000,56759.784822000
85,138409,56759.788249000,56759.800029000
86,138410,56759.805436000,56759.817216000
87,138411,56759.821502000,56759.833282000
88,138412,56759.838894000,56759.850674000
89,138413,56759.856484000,56759.868264000
90,138414,56759.872042000,56759.883822000
91,138415,56759.888110000,56759.899890000
92,138416,56759.905299000,56759.917079000
93,138417,56759.921550000,56759.933330000
94,138418,56759.938735000,56759.950515000
95,138419,56759.956503000,56759.968283000
96,138420,56759.973189000,56759.984969000
97,138421,56759.988640000,56760.000420000
98,138422,56760.005131000,56760.016911000
99,138423,56760.021168000,56760.032948000
100,138424,56760.038888000,56760.050668000
101,138425,56760.056391000,56760.068171000
102,138426,56760.073121000,56760.084901000
103,138427,56760.088692000,56760.100472000
104,138428,56760.105118000,56760.116898000
105,138429,56760.121508000,56760.133288000
106,138430,56760.139078000,56760.150858000
107,138431,56760.156417000,56760.168197000
108,138432,56760.171137000,56760.182917000
109,138433,56760.188175000,56760.199955000
110,138434,56760.205424000,56760.217204000
111,138435,56760.221446000,56760.233226000
112,138436,56760.238645000,56760.250425000
113,138437,56760.256304000,56760.268084000
114,138438,56760.273314000,56760.285094000
115,138439,56760.288263000,56760.300043000
116,138440,56760.305109000,56760.316889000
117,138441,56760.321534000,56760.333314000
118,138442,56760.338705000,56760.350485000
119,138443,56760.354463000,56760.366243000
120,138444,56760.372678000,56760.384458000
121,138445,56760.388344000,56760.400124000
122,138446,56760.405055000,56760.416835000
123,138447,56760.421170000,56760.432950000
124,138448,56760.438915000,56760.450695000
125,138449,56760.454681000,56760.466461000
126,138450,56760.471036000,56760.482816000
127,138451,56760.488424000,56760.500204000
128,138452,56760.505233000,56760.517013000
129,138453,56760.521337000,56760.533117000
130,138454,56760.538909000,56760.550689000
131,138455,56760.556336000,56760.568116000
132,138456,56760.574054000,56760.585834000
133,138457,56760.588830000,56760.600610000
134,138458,56760.605463000,56760.617243000
135,138459,56760.621444000,56760.633224000
136,138460,56760.638586000,56760.650366000
137,138461,56760.656435000,56760.668215000
138,138462,56760.672992000,56760.684772000
139,138463,56760.688229000,56760.700009000
140,138464,56760.705012000,56760.716792000
141,138465,56760.721150000,56760.732930000
142,138466,56760.738700000,56760.750480000
143,138467,56760.754508000,56760.766288000
144,138468,56760.771049000,56760.782829000
145,138469,56760.788303000,56760.800083000
146,138470,56760.805065000,56760.816845000
147,138471,56760.821418000,56760.833198000
148,138472,56760.838965000,56760.850745000
149,138473,56760.856290000,56760.868070000
150,138474,56760.873792000,56760.885572000
151,138475,56760.888956000,56760.900736000
152,138476,56760.906382000,56760.918162000
153,138477,56760.921327000,56760.933107000
154,138478,56760.938554000,56760.950334000
155,138479,56760.956346000,56760.968126000
156,138480,56760.971952000,56760.983732000
157,138481,56760.988118000,56760.999898000
158,138482,56761.004351000,56761.016131000
159,138483,56761.021282000,56761.033062000
160,138484,56761.038594000,56761.050374000
161,138485,56761.056330000,56761.068110000
162,138486,56761.073083000,56761.084863000
163,138487,56761.088481000,56761.100261000
164,138488,56761.104984000,56761.116764000
165,138489,56761.121152000,56761.132932000
166,138490,56761.138761000,56761.150541000
167,138491,56761.154834000,56761.166614000
168,138492,56761.172590000,56761.184370000
169,138493,56761.188357000,56761.200137000
170,138494,56761.205056000,56761.216836000
171,138495,56761.221381000,56761.233161000
172,138496,56761.238731000,56761.250511000
173,138497,56761.256340000,56761.268120000
174,138498,56761.274062000,56761.285842000
175,138499,56761.288841000,56761.300621000
176,138500,56761.305390000,56761.317170000
177,138501,56761.321352000,56761.333132000
178,138502,56761.338525000,56761.350305000
179,138503,56761.356387000,56761.368167000
180,138504,56761.372728000,56761.384508000
181,138505,56761.388199000,56761.399979000
182,138506,56761.404444000,56761.416224000
183,138507,56761.421091000,56761.432871000
184,138508,56761.438539000,56761.450319000
185,138509,56761.456349000,56761.468129000
186,138510,56761.472819000,56761.484599000
187,138511,56761.488252000,56761.500032000
188,138512,56761.505029000,56761.516809000
189,138513,56761.521238000,56761.533018000
190,138514,56761.538787000,56761.550567000
191,138515,56761.556296000,56761.568076000
192,138516,56761.570988000,56761.582768000
193,138517,56761.588059000,56761.599839000
194,138518,56761.605174000,56761.616954000
195,138519,56761.621320000,56761.633100000
196,138520,56761.637449000,56761.649229000
197,138521,56761.656210000,56761.667990000
198,138522,56761.674020000,56761.685800000
199,138523,56761.688353000,56761.700133000
200,138524,56761.704412000,56761.716192000
201,138525,56761.721183000,56761.732963000
202,138526,56761.738483000,56761.750263000
203,138527,56761.756277000,56761.768057000
204,138528,56761.772922000,56761.784702000
205,138529,56761.788137000,56761.799917000
206,138530,56761.804943000,56761.816723000
207,138531,56761.821097000,56761.832877000
208,138532,56761.838676000,56761.850456000
209,138533,56761.856219000,56761.867999000
210,138534,56761.871024000,56761.882804000
211,138535,56761.888008000,56761.899788000
212,138536,56761.904917000,56761.916697000
213,138537,56761.921237000,56761.933017000
214,138538,56761.938625000,56761.950405000
215,138539,56761.956257000,56761.968037000
216,138540,56761.972937000,56761.984717000
217,138541,56761.987970000,56761.999750000
218,138542,56762.005178000,56762.016958000
219,138543,56762.021231000,56762.033011000
220,138544,56762.038410000,56762.050190000
221,138545,56762.056171000,56762.067951000
222,138546,56762.074195000,56762.085975000
223,138547,56762.088424000,56762.100204000
224,138548,56762.105426000,56762.117206000
225,138549,56762.121324000,56762.133104000
226,138550,56762.138478000,56762.150258000
227,138551,56762.156195000,56762.167975000
228,138552,56762.173074000,56762.184854000
229,138553,56762.188238000,56762.200018000
230,138554,56762.205037000,56762.216817000
231,138555,56762.221022000,56762.232802000
232,138556,56762.238674000,56762.250454000
233,138557,56762.254568000,56762.266348000
234,138558,56762.272548000,56762.284328000
235,138559,56762.288249000,56762.300029000
236,138560,56762.305081000,56762.316861000
237,138561,56762.321229000,56762.333009000
238,138562,56762.337331000,56762.349111000
239,138563,56762.356191000,56762.367971000
240,138564,56762.372729000,56762.384509000
241,138565,56762.387971000,56762.399751000
242,138566,56762.404268000,56762.416048000
243,138567,56762.421426000,56762.433206000
244,138568,56762.437538000,56762.449318000
245,138569,56762.454275000,56762.466055000
246,138570,56762.472327000,56762.484107000
247,138571,56762.487949000,56762.499729000
248,138572,56762.505393000,56762.517173000
249,138573,56762.520982000,56762.532762000
250,138574,56762.538511000,56762.550291000
251,138575,56762.554595000,56762.566375000
252,138576,56762.572299000,56762.584079000
253,138577,56762.588253000,56762.600033000
254,138578,56762.605081000,56762.616861000
255,138579,56762.621125000,56762.632905000
256,138580,56762.638658000,56762.650438000
257,138581,56762.654284000,56762.666064000
258,138582,56762.670657000,56762.682437000
259,138583,56762.687702000,56762.699482000
260,138584,56762.705156000,56762.716936000
261,138585,56762.721292000,56762.733072000
262,138586,56762.737232000,56762.749012000
263,138587,56762.756071000,56762.767851000
264,138588,56762.774092000,56762.785872000
265,138589,56762.788159000,56762.799939000
266,138590,56762.805629000,56762.817409000
267,138591,56762.821333000,56762.833113000
268,138592,56762.838408000,56762.850188000
269,138593,56762.854194000,56762.865974000
270,138594,56762.872343000,56762.884123000
271,138595,56762.887978000,56762.899758000
272,138596,56762.905313000,56762.917093000
273,138597,56762.921069000,56762.932849000
274,138598,56762.938609000,56762.950389000
275,138599,56762.954511000,56762.966291000
276,138600,56762.972410000,56762.984190000
277,138601,56762.988187000,56762.999967000
278,138602,56763.005067000,56763.016847000
279,138603,56763.021167000,56763.032947000
280,138604,56763.037219000,56763.048999000
281,138605,56763.056247000,56763.068027000
282,138606,56763.072651000,56763.084431000
283,138607,56763.087887000,56763.099667000
284,138608,56763.106139000,56763.117919000
285,138609,56763.121075000,56763.132855000
286,138610,56763.137211000,56763.148991000
287,138611,56763.154355000,56763.166135000
288,138612,56763.172471000,56763.184251000
289,138613,56763.187961000,56763.199741000
290,138614,56763.205038000,56763.216818000
291,138615,56763.220859000,56763.232639000
292,138616,56763.238320000,56763.250100000
293,138617,56763.254008000,56763.265788000
294,138618,56763.272206000,56763.283986000
295,138619,56763.288149000,56763.299929000
296,138620,56763.304778000,56763.316558000
297,138621,56763.320851000,56763.332631000
298,138622,56763.338727000,56763.350507000
299,138623,56763.356074000,56763.367854000
300,138624,56763.372418000,56763.384198000
301,138625,56763.388225000,56763.400005000
302,138626,56763.404982000,56763.416762000
303,138627,56763.420638000,56763.432418000
304,138628,56763.438312000,56763.450092000
305,138629,56763.455678000,56763.467458000
306,138630,56763.472628000,56763.484408000
307,138631,56763.487867000,56763.499647000
308,138632,56763.504771000,56763.516551000
309,138633,56763.522396000,56763.534176000
310,138634,56763.538118000,56763.549898000
311,138635,56763.555936000,56763.567716000
312,138636,56763.572550000,56763.584330000
313,138637,56763.588027000,56763.599807000
314,138638,56763.604559000,56763.616339000
315,138639,56763.622197000,56763.633977000
316,138640,56763.638369000,56763.650149000
317,138641,56763.655916000,56763.667696000
318,138642,56763.672445000,56763.684225000
319,138643,56763.688177000,56763.699957000
320,138644,56763.704819000,56763.716599000
321,138645,56763.720619000,56763.732399000
322,138646,56763.738160000,56763.749940000
323,138647,56763.755924000,56763.767704000
324,138648,56763.772612000,56763.784392000
325,138649,56763.787946000,56763.799726000
326,138650,56763.804904000,56763.816684000
327,138651,56763.820730000,56763.832510000
328,138652,56763.838076000,56763.849856000
329,138653,56763.855875000,56763.867655000
330,138654,56763.873011000,56763.884791000
331,138655,56763.887900000,56763.899680000
332,138656,56763.904742000,56763.916522000
333,138657,56763.921016000,56763.932796000
334,138658,56763.938117000,56763.949897000
335,138659,56763.956038000,56763.967818000
336,138660,56763.972646000,56763.984426000
337,138661,56763.988036000,56763.999816000
338,138662,56764.004584000,56764.016364000
339,138663,56764.020703000,56764.032483000
340,138664,56764.038329000,56764.050109000
341,138665,56764.054180000,56764.065960000
342,138666,56764.072282000,56764.084062000
343,138667,56764.088143000,56764.099923000
344,138668,56764.104581000,56764.116361000
345,138669,56764.120943000,56764.132723000
346,138670,56764.138290000,56764.150070000
347,138671,56764.155906000,56764.167686000
348,138672,56764.172590000,56764.184370000
349,138673,56764.187756000,56764.199536000
350,138674,56764.204806000,56764.216586000
351,138675,56764.220725000,56764.232505000
352,138676,56764.238074000,56764.249854000
353,138677,56764.254058000,56764.265838000
354,138678,56764.272230000,56764.284010000
355,138679,56764.288019000,56764.299799000
356,138680,56764.304722000,56764.316502000
357,138681,56764.321024000,56764.332804000
358,138682,56764.338152000,56764.349932000
359,138683,56764.354108000,56764.365888000
360,138684,56764.372048000,56764.383828000
361,138685,56764.388078000,56764.399858000
362,138686,56764.404515000,56764.416295000
363,138687,56764.420809000,56764.432589000
364,138688,56764.438326000,56764.450106000
365,138689,56764.453998000,56764.465778000
366,138690,56764.471953000,56764.483733000
367,138691,56764.487706000,56764.499486000
368,138692,56764.504694000,56764.516474000
369,138693,56764.520796000,56764.532576000
370,138694,56764.538242000,56764.550022000
371,138695,56764.555840000,56764.567620000
372,138696,56764.573760000,56764.585540000
373,138697,56764.588271000,56764.600051000
374,138698,56764.605125000,56764.616905000
375,138699,56764.620876000,56764.632656000
376,138700,56764.638076000,56764.649856000
377,138701,56764.653903000,56764.665683000
378,138702,56764.672035000,56764.683815000
379,138703,56764.687822000,56764.699602000
380,138704,56764.704567000,56764.716347000
381,138705,56764.720617000,56764.732397000
382,138706,56764.738250000,56764.750030000
383,138707,56764.754157000,56764.765937000
384,138708,56764.772095000,56764.783875000
385,138709,56764.788075000,56764.799855000
386,138710,56764.804638000,56764.816418000
387,138711,56764.820679000,56764.832459000
388,138712,56764.838158000,56764.849938000
389,138713,56764.855949000,56764.867729000
390,138714,56764.873461000,56764.885241000
391,138715,56764.887068000,56764.898848000
392,138716,56764.905016000,56764.916796000
393,138717,56764.921231000,56764.933011000
394,138718,56764.937998000,56764.949778000
395,138719,56764.953926000,56764.965706000
396,138720,56764.971840000,56764.983620000
397,138721,56764.987832000,56764.999612000
398,138722,56765.006926000,56765.018706000
399,138723,56765.020849000,56765.032629000
400,138724,56765.038050000,56765.049830000
401,138725,56765.054129000,56765.065909000
402,138726,56765.071840000,56765.083620000
403,138727,56765.088009000,56765.099789000
